plan,month,charge,usage,per_kwh
existing,2021-Mar,131.26,1178.0,0.11142614601018674
existing,2021-Apr,144.54,1316.2,0.10981613736514206
existing,2021-May,242.21,2073.8,0.11679525508727938
existing,2021-Jun,336.7,2820.9,0.1193590698004183
existing,2021-Jul,444.84,3424.2,0.12991063606097775
existing,2021-Aug,470.99,3557.9,0.13237865032744034
existing,2021-Sep,385.56,2553.5,0.15099275504209908
existing,2021-Oct,372.2,2317.4,0.16061102960214033
existing,2021-Nov,222.88,1352.2,0.164827688211803
existing,2021-Dec,245.11,1525.0,0.16072786885245902
existing,2022-Jan,185.08,1108.6,0.16694930543027245
existing,2022-Feb,177.54,1063.3,0.16697075143421425
existing,2022-Mar,189.36,1173.9,0.16130845898287757
existing,2022-Apr,308.84,1957.7,0.1577565510548092
existing,2022-May,479.17,3044.6,0.1573835643434277
existing,2022-Jun,559.2,3427.8,0.16313670575879574
existing,2022-Jul,581.62,3310.4,0.17569478008699854
existing,2022-Aug,588.71,3363.7,0.17501858072955379
existing,2022-Sep,521.04,2830.2,0.1841000635997456
existing,2022-Oct,382.28,1994.8,0.19163825947463403
existing,2022-Nov,262.42,1333.5,0.19679040119985003
existing,2022-Dec,277.17,1412.8,0.19618488108720272
existing,2023-Jan,299.97,1521.9,0.1971023063276168
existing,2023-Feb,272.46,1302.8,0.2091341725514277
existing,2023-Mar,323.62,1600.3,0.202224582890708
existing,2023-Apr,321.22,1644.0,0.19538929440389297
existing,2023-May,496.16,2534.9,0.19573158704485386
existing,2023-Jun,718.37,3674.9,0.19548014911970393
existing,2023-Jul,792.53,4055.7,0.19541139630643292
existing,2023-Aug,622.7,3511.5,0.17733162466182545
4change_PowerMaxxSaver24,2021-Mar,184.06331599999996,1178.0,0.15625069269949063
4change_PowerMaxxSaver24,2021-Apr,204.5614164,1316.2,0.15541818598997115
4change_PowerMaxxSaver24,2021-May,216.93016360000001,2073.8,0.10460515170218922
4change_PowerMaxxSaver24,2021-Jun,327.7415298,2820.9,0.11618332085504626
4change_PowerMaxxSaver24,2021-Jul,417.22419239999994,3424.2,0.12184574277203433
4change_PowerMaxxSaver24,2021-Aug,437.05484379999996,3557.9,0.12284067674751958
4change_PowerMaxxSaver24,2021-Sep,288.080227,2553.5,0.11281779009203054
4change_PowerMaxxSaver24,2021-Oct,253.0614028,2317.4,0.10920057081211702
4change_PowerMaxxSaver24,2021-Nov,209.90100839999997,1352.2,0.1552292622393137
4change_PowerMaxxSaver24,2021-Dec,235.53104999999996,1525.0,0.15444659016393442
4change_PowerMaxxSaver24,2022-Jan,173.76976919999998,1108.6,0.15674704059173733
4change_PowerMaxxSaver24,2022-Feb,167.0507826,1063.3,0.1571059744192608
4change_PowerMaxxSaver24,2022-Mar,183.4551958,1173.9,0.15627838470057073
4change_PowerMaxxSaver24,2022-Apr,299.7099794,1957.7,0.1530929046329877
4change_PowerMaxxSaver24,2022-May,360.9211611999999,3044.6,0.11854468935163895
4change_PowerMaxxSaver24,2022-Jun,417.7581516000001,3427.8,0.12187354909854718
4change_PowerMaxxSaver24,2022-Jul,400.34514879999995,3310.4,0.1209355814403093
4change_PowerMaxxSaver24,2022-Aug,408.2507114,3363.7,0.12136953693849035
4change_PowerMaxxSaver24,2022-Sep,329.1209244,2830.2,0.11628892813228747
4change_PowerMaxxSaver24,2022-Oct,305.2127256,1994.8,0.15300417365149388
4change_PowerMaxxSaver24,2022-Nov,207.127387,1333.5,0.15532612448443944
4change_PowerMaxxSaver24,2022-Dec,218.88932159999996,1412.8,0.15493298527746316
4change_PowerMaxxSaver24,2023-Jan,235.07125179999997,1521.9,0.15445906551021746
4change_PowerMaxxSaver24,2023-Feb,202.5739016,1302.8,0.15549117408658275
4change_PowerMaxxSaver24,2023-Mar,246.69969659999998,1600.3,0.15415840567393613
4change_PowerMaxxSaver24,2023-Apr,253.181368,1644.0,0.15400326520681265
4change_PowerMaxxSaver24,2023-May,285.32143779999996,2534.9,0.11255727555327624
